Post_ID,Category,Title,Content,Author,Tags,Likes,Comments,CreatedDate,Status
P001,Announcement,International Yoga Day Highlights,"International Yoga Day Highlights - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,51,4,01-07-2026,Published
P002,Announcement,New Meditation Workshop,"New Meditation Workshop - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,52,5,02-07-2026,Published
P003,Announcement,Ayurveda Webinar,"Ayurveda Webinar - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,53,6,03-07-2026,Published
P004,Announcement,Volunteer Registration,"Volunteer Registration - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,announcement,54,7,04-07-2026,Published
P005,Announcement,Community Guidelines Update,"Community Guidelines Update - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.", coach ashish,announcement,55,8,05-07-2026,Published
P006,Announcement,New Mentor Joined,"New Mentor Joined - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,56,9,06-07-2026,Published
P007,Announcement,Research Library Expanded,"Research Library Expanded - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,57,10,07-07-2026,Published
P008,Announcement,Weekend Wellness Camp,"Weekend Wellness Camp - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,58,11,08-07-2026,Published
P009,Announcement,Monthly Newsletter,"Monthly Newsletter - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,announcement,59,12,09-07-2026,Published
P010,Announcement,Live Q&A Session,"Live Q&A Session - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  coach ashish,announcement,60,13,10-07-2026,Published
P011,Announcement,Scholarship Announcement,"Scholarship Announcement - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Admin,announcement,61,14,11-07-2026,Published
P012,Announcement,Event Schedule,"Event Schedule - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Yoga Mentor,announcement,62,15,12-07-2026,Published
P013,Announcement,App Feature Update,"App Feature Update - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",Community Team,announcement,63,16,13-07-2026,Published
P014,Announcement,Breathing Challenge,"Breathing Challenge - Join the Pragya Connect community to learn, discuss and grow through authentic yoga, meditation and wellness knowledge.",  Dr. usha jaiswal,announcement,64,17,14-07-2026,Published
